character_slug,sort_order,race_slug,requirement,turn
haru-urara-uraran-first-prize,7,elm_stakes,Place 5th or better in,63
haru-urara-uraran-first-prize,8,jbc_sprint,Place 1st in,69
haru-urara-uraran-first-prize,9,arima_kinen,Participate in,72
matikanefukukitaru-rising-luck-flood-of-happiness,1,junior_make_debut,Participate in,12
matikanefukukitaru-rising-luck-flood-of-happiness,2,yayoi_sho,Place 5th or better in,29
matikanefukukitaru-rising-luck-flood-of-happiness,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
matikanefukukitaru-rising-luck-flood-of-happiness,4,kikuka_sho,Place 3rd or better in,44
matikanefukukitaru-rising-luck-flood-of-happiness,5,kinko_sho,Place 3rd or better in,53
matikanefukukitaru-rising-luck-flood-of-happiness,6,takarazuka_kinen,Place 3rd or better in,60
matikanefukukitaru-rising-luck-flood-of-happiness,7,hakodate_kinen,Place 2nd or better in,61
matikanefukukitaru-rising-luck-flood-of-happiness,8,arima_kinen,Place 1st in,72
matikanefukukitaru-good-omenfirst-storm,1,junior_make_debut,Participate in,12
matikanefukukitaru-good-omenfirst-storm,2,yayoi_sho,Place 5th or better in,29
matikanefukukitaru-good-omenfirst-storm,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
matikanefukukitaru-good-omenfirst-storm,4,kikuka_sho,Place 3rd or better in,44
matikanefukukitaru-good-omenfirst-storm,5,kinko_sho,Place 3rd or better in,53
matikanefukukitaru-good-omenfirst-storm,6,takarazuka_kinen,Place 3rd or better in,60
matikanefukukitaru-good-omenfirst-storm,7,hakodate_kinen,Place 2nd or better in,61
matikanefukukitaru-good-omenfirst-storm,8,arima_kinen,Place 1st in,72
meisho-doto-blue-raging,1,junior_make_debut,Participate in,12
meisho-doto-blue-raging,2,,Have at least 6000 fans,31
meisho-doto-blue-raging,3,,Have at least 15000 fans,44
meisho-doto-blue-raging,4,nikkei_shinshun_hai,Place 3rd or better in,49
meisho-doto-blue-raging,5,kinko_sho,Place 1st in,53
meisho-doto-blue-raging,6,takarazuka_kinen,Place 2nd or better in,60
meisho-doto-blue-raging,7,tenno_sho_autumn,Place 2nd or better in,68
meisho-doto-blue-raging,8,japan_cup,Place 2nd or better in,70
meisho-doto-blue-raging,9,arima_kinen,Place 1st in,72
nice-nature-poinsettia-ribbon,1,junior_make_debut,Participate in,12
nice-nature-poinsettia-ribbon,2,wakagoma_stakes,Place 3rd or better in,26
nice-nature-poinsettia-ribbon,3,kokura_kinen,Place 3rd or better in,39
nice-nature-poinsettia-ribbon,4,kikuka_sho,Place 3rd or better in,44
nice-nature-poinsettia-ribbon,5,arima_kinen,Place 3rd or better in,48
nice-nature-poinsettia-ribbon,6,takarazuka_kinen,Place 3rd or better in,60
nice-nature-poinsettia-ribbon,7,tenno_sho_autumn,Place 3rd or better in,68
nice-nature-poinsettia-ribbon,8,chunichi_shimbun_hai,Place 1st in,71
nice-nature-poinsettia-ribbon,9,arima_kinen,Place 1st in,72
king-halo-king-of-emeralds,1,junior_make_debut,Participate in,12
king-halo-king-of-emeralds,2,hopeful_stakes,Place 5th or better in,24
king-halo-king-of-emeralds,3,satsuki_sho,Place 5th or better in,31
king-halo-king-of-emeralds,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
king-halo-king-of-emeralds,5,kikuka_sho,Participate in,44
king-halo-king-of-emeralds,6,takamatsunomiya_kinen,Place 1st in,54
king-halo-king-of-emeralds,7,yasuda_kinen,Place 3rd or better in,59
king-halo-king-of-emeralds,8,sprinters_stakes,Place 1st in,66
king-halo-king-of-emeralds,9,tenno_sho_autumn,Place 1st in,68
rice-shower-make-up-vampire,1,junior_make_debut,Participate in,12
rice-shower-make-up-vampire,2,spring_stakes,Place 5th or better in,30
rice-shower-make-up-vampire,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
rice-shower-make-up-vampire,4,kikuka_sho,Place 3rd or better in,44
rice-shower-make-up-vampire,5,nikkei_sho,Place 3rd or better in,54
rice-shower-make-up-vampire,6,tenno_sho_spring,Place 1st in,56
rice-shower-make-up-vampire,7,takarazuka_kinen,Place 3rd or better in,60
rice-shower-make-up-vampire,8,arima_kinen,Place 1st in,72
super-creek-chiffon-ribbon-mummy,1,junior_make_debut,Participate in,12
super-creek-chiffon-ribbon-mummy,2,sumire_stakes,Place 3rd or better in,28
super-creek-chiffon-ribbon-mummy,3,kikuka_sho,Place 3rd or better in,44
super-creek-chiffon-ribbon-mummy,4,arima_kinen,Place 3rd or better in,48
super-creek-chiffon-ribbon-mummy,5,osaka_hai,Place 3rd or better in,54
super-creek-chiffon-ribbon-mummy,6,tenno_sho_spring,Place 3rd or better in,56
super-creek-chiffon-ribbon-mummy,7,tenno_sho_autumn,Place 1st in,68
super-creek-chiffon-ribbon-mummy,8,arima_kinen,Place 1st in,72
kawakami-princess-princess-of-pink,1,junior_make_debut,Participate in,12
kawakami-princess-princess-of-pink,2,,Have at least 7000 fans,31
kawakami-princess-princess-of-pink,3,oaks,Place 5th or better in,34
kawakami-princess-princess-of-pink,4,shuuka_sho,Place 3rd or better in,44
kawakami-princess-princess-of-pink,5,queen_elizabeth_cup,Place 3rd or better in,45
kawakami-princess-princess-of-pink,6,kinko_sho,Place 3rd or better in,53
kawakami-princess-princess-of-pink,7,victoria_mile,Place 3rd or better in,57
kawakami-princess-princess-of-pink,8,takarazuka_kinen,Place 3rd or better in,60
kawakami-princess-princess-of-pink,9,queen_elizabeth_cup,Place 1st in,69
manhattan-cafe-creeping-black,1,junior_make_debut,Participate in,12
manhattan-cafe-creeping-black,2,,Have at least 4000 fans,26
manhattan-cafe-creeping-black,3,yayoi_sho,Place 5th or better in,29
manhattan-cafe-creeping-black,4,st_lite_kinen,Place 3rd or better in,42
manhattan-cafe-creeping-black,5,kikuka_sho,Place 3rd or better in,44
manhattan-cafe-creeping-black,6,arima_kinen,Place 3rd or better in,48
manhattan-cafe-creeping-black,7,tenno_sho_spring,Place 3rd or better in,56
manhattan-cafe-creeping-black,8,takarazuka_kinen,Place 3rd or better in,60
manhattan-cafe-creeping-black,9,japan_cup,Place 3rd or better in,70
manhattan-cafe-creeping-black,10,arima_kinen,Place 1st in,72
symboli-rudolf-archer-of-the-white-moon,1,junior_make_debut,Participate in,12
symboli-rudolf-archer-of-the-white-moon,2,saudi_arabia_royal_cup,Place 5th or better in,19
symboli-rudolf-archer-of-the-white-moon,3,satsuki_sho,Place 5th or better in,31
symboli-rudolf-archer-of-the-white-moon,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
symboli-rudolf-archer-of-the-white-moon,5,kikuka_sho,Place 3rd or better in,44
symboli-rudolf-archer-of-the-white-moon,6,arima_kinen,Place 3rd or better in,48
symboli-rudolf-archer-of-the-white-moon,7,tenno_sho_spring,Place 3rd or better in,56
symboli-rudolf-archer-of-the-white-moon,8,japan_cup,Place 2nd or better in,70
symboli-rudolf-archer-of-the-white-moon,9,arima_kinen,Place 1st in,72
gold-city-akizakura-danzatrice,1,junior_make_debut,Participate in,12
gold-city-akizakura-danzatrice,2,hanshin_juvenile_fillies,Place 5th or better in,23
gold-city-akizakura-danzatrice,3,satsuki_sho,Place 5th or better in,31
gold-city-akizakura-danzatrice,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
gold-city-akizakura-danzatrice,5,kikuka_sho,Place 3rd or better in,44
gold-city-akizakura-danzatrice,6,arima_kinen,Place 3rd or better in,48
gold-city-akizakura-danzatrice,7,osaka_hai,Place 3rd or better in,54
gold-city-akizakura-danzatrice,8,tenno_sho_spring,Place 3rd or better in,56
gold-city-akizakura-danzatrice,9,takarazuka_kinen,Place 3rd or better in,60
gold-city-akizakura-danzatrice,10,japan_cup,Place 1st in,70
tosen-jordan-pop-joker,1,junior_make_debut,Participate in,12
tosen-jordan-pop-joker,2,hopeful_stakes,Place 5th or better in,24
tosen-jordan-pop-joker,3,satsuki_sho,Place 5th or better in,31
tosen-jordan-pop-joker,4,copa_republica_argentina,Place 3rd or better in,45
tosen-jordan-pop-joker,5,arima_kinen,Participate in,48
tosen-jordan-pop-joker,6,osaka_hai,Place 3rd or better in,54
tosen-jordan-pop-joker,7,tenno_sho_spring,Place 3rd or better in,56
tosen-jordan-pop-joker,8,takarazuka_kinen,Place 3rd or better in,60
tosen-jordan-pop-joker,9,tenno_sho_autumn,Place 1st in,68
mejiro-dober-twisted-line,1,junior_make_debut,Participate in,12
mejiro-dober-twisted-line,2,hanshin_juvenile_fillies,Place 5th or better in,23
mejiro-dober-twisted-line,3,oka_sho,Place 5th or better in,31
mejiro-dober-twisted-line,4,oaks,Place 5th or better in,34
mejiro-dober-twisted-line,5,shuuka_sho,Place 3rd or better in,44
mejiro-dober-twisted-line,6,arima_kinen,Participate in,48
mejiro-dober-twisted-line,7,osaka_hai,Place 3rd or better in,54
mejiro-dober-twisted-line,8,takarazuka_kinen,Place 3rd or better in,60
mejiro-dober-twisted-line,9,fuchu_uma_musume_stakes,Place 1st in,67
mejiro-dober-twisted-line,10,queen_elizabeth_cup,Place 1st in,69
oguri-cap-miraculous-white-star,1,junior_make_debut,Participate in,12
oguri-cap-miraculous-white-star,2,,Have at least 3000 fans,24
oguri-cap-miraculous-white-star,3,nhk_mile_cup,Place 5th or better in,33
oguri-cap-miraculous-white-star,4,mile_championship,Place 3rd or better in,46
oguri-cap-miraculous-white-star,5,arima_kinen,Place 3rd or better in,48
oguri-cap-miraculous-white-star,6,,Place 3rd or better in 2 G1 races,60
oguri-cap-miraculous-white-star,7,tenno_sho_autumn,Place 1st in,68
oguri-cap-miraculous-white-star,8,arima_kinen,Place 1st in,72
biwa-hayahide-noel-rouge-carol,1,junior_make_debut,Participate in,12
biwa-hayahide-noel-rouge-carol,2,asahi_hai_futurity_stakes,Place 5th or better in,23
biwa-hayahide-noel-rouge-carol,3,satsuki_sho,Place 5th or better in,31
biwa-hayahide-noel-rouge-carol,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
biwa-hayahide-noel-rouge-carol,5,kikuka_sho,Place 3rd or better in,44
biwa-hayahide-noel-rouge-carol,6,tenno_sho_spring,Place 3rd or better in,56
biwa-hayahide-noel-rouge-carol,7,takarazuka_kinen,Place 1st in,60
biwa-hayahide-noel-rouge-carol,8,tenno_sho_autumn,Place 3rd or better in,68
biwa-hayahide-noel-rouge-carol,9,arima_kinen,Place 1st in,72
fine-motion-noble-seamair,1,junior_make_debut,Participate in,12
fine-motion-noble-seamair,2,,Have at least 3000 fans,24
fine-motion-noble-seamair,3,oka_sho,Place 5th or better in,31
fine-motion-noble-seamair,4,oaks,Place 5th or better in,34
fine-motion-noble-seamair,5,shuuka_sho,Place 3rd or better in,44
fine-motion-noble-seamair,6,queen_elizabeth_cup,Place 3rd or better in,45
fine-motion-noble-seamair,7,osaka_hai,Place 3rd or better in,54
fine-motion-noble-seamair,8,takarazuka_kinen,Place 3rd or better in,60
fine-motion-noble-seamair,9,sapporo_kinen,Place 3rd or better in,64
fine-motion-noble-seamair,10,tenno_sho_autumn,Place 1st in,68
tamamo-cross-with-lightning-speed,1,junior_make_debut,Participate in,12
tamamo-cross-with-lightning-speed,2,,Have at least 5000 fans,29
tamamo-cross-with-lightning-speed,3,,Place 3rd or better in 4 G3 races,49
tamamo-cross-with-lightning-speed,4,hanshin_daishoten,Place 3rd or better in,54
tamamo-cross-with-lightning-speed,5,tenno_sho_spring,Place 3rd or better in,56
tamamo-cross-with-lightning-speed,6,takarazuka_kinen,Place 1st in,60
tamamo-cross-with-lightning-speed,7,tenno_sho_autumn,Place 1st in,68
tamamo-cross-with-lightning-speed,8,arima_kinen,Place 1st in,72
tm-opera-o-blue-dazzle,1,junior_make_debut,Participate in,12
tm-opera-o-blue-dazzle,2,,Have at least 5000 fans,28
tm-opera-o-blue-dazzle,3,satsuki_sho,Place 5th or better in,31
tm-opera-o-blue-dazzle,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
tm-opera-o-blue-dazzle,5,arima_kinen,Place 3rd or better in,48
tm-opera-o-blue-dazzle,6,tenno_sho_spring,Place 3rd or better in,56
tm-opera-o-blue-dazzle,7,takarazuka_kinen,Place 3rd or better in,60
tm-opera-o-blue-dazzle,8,japan_cup,Place 2nd or better in,70
tm-opera-o-blue-dazzle,9,arima_kinen,Place 1st in,72
haru-urara-first-urara-saku-sakura,1,junior_make_debut,Participate in,12
haru-urara-first-urara-saku-sakura,2,,Have at least 5000 fans,37
haru-urara-first-urara-saku-sakura,3,,Have at least 9000 fans,45
haru-urara-first-urara-saku-sakura,4,,Have at least 12000 fans,48
haru-urara-first-urara-saku-sakura,5,negishi_stakes,Place 5th or better in,50
haru-urara-first-urara-saku-sakura,6,february_stakes,Place 5th or better in,52
haru-urara-first-urara-saku-sakura,7,elm_stakes,Place 5th or better in,63
haru-urara-first-urara-saku-sakura,8,jbc_sprint,Place 1st in,69
haru-urara-first-urara-saku-sakura,9,arima_kinen,Participate in,72
sakura-chiyono-o-hinoshita-kaisanhana-akari,1,junior_make_debut,Participate in,12
sakura-chiyono-o-hinoshita-kaisanhana-akari,2,asahi_hai_futurity_stakes,Place 5th or better in,23
sakura-chiyono-o-hinoshita-kaisanhana-akari,3,satsuki_sho,Place 5th or better in,31
sakura-chiyono-o-hinoshita-kaisanhana-akari,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
sakura-chiyono-o-hinoshita-kaisanhana-akari,5,tenno_sho_autumn,Place 3rd or better in,44
sakura-chiyono-o-hinoshita-kaisanhana-akari,6,yasuda_kinen,Place 3rd or better in,59
sakura-chiyono-o-hinoshita-kaisanhana-akari,7,tenno_sho_autumn,Place 1st in,68
sakura-chiyono-o-hinoshita-kaisanhana-akari,8,japan_cup,Place 2nd or better in,70
mihono-bourbon-code-glacage,1,junior_make_debut,Participate in,12
mihono-bourbon-code-glacage,2,asahi_hai_futurity_stakes,Place 5th or better in,23
mihono-bourbon-code-glacage,3,spring_stakes,Place 5th or better in,30
mihono-bourbon-code-glacage,4,satsuki_sho,Place 5th or better in,31
mihono-bourbon-code-glacage,5,tokyo_yushun_japanese_derby,Place 5th or better in,34
mihono-bourbon-code-glacage,6,kikuka_sho,Place 3rd or better in,44
mihono-bourbon-code-glacage,7,tenno_sho_spring,Place 3rd or better in,56
mihono-bourbon-code-glacage,8,japan_cup,Place 2nd or better in,70
mihono-bourbon-code-glacage,9,arima_kinen,Place 1st in,72
eishin-flash-collectchocolatier,1,junior_make_debut,Participate in,12
eishin-flash-collectchocolatier,2,keisei_hai,Place 5th or better in,25
eishin-flash-collectchocolatier,3,satsuki_sho,Place 5th or better in,31
eishin-flash-collectchocolatier,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
eishin-flash-collectchocolatier,5,japan_cup,Participate in,46
eishin-flash-collectchocolatier,6,arima_kinen,Participate in,48
eishin-flash-collectchocolatier,7,osaka_hai,Place 3rd or better in,54
eishin-flash-collectchocolatier,8,tenno_sho_spring,Place 3rd or better in,56
eishin-flash-collectchocolatier,9,tenno_sho_autumn,Place 1st in,68
eishin-flash-collectchocolatier,10,arima_kinen,Place 1st in,72
mejiro-ardan-clinochlore-line,1,junior_make_debut,Participate in,12
mejiro-ardan-clinochlore-line,2,,Have at least 6000 fans,30
mejiro-ardan-clinochlore-line,3,aoba_sho,Place 5th or better in,32
mejiro-ardan-clinochlore-line,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
mejiro-ardan-clinochlore-line,5,kikuka_sho,Participate in,44
mejiro-ardan-clinochlore-line,6,osaka_hai,Place 3rd or better in,54
mejiro-ardan-clinochlore-line,7,takarazuka_kinen,Place 3rd or better in,60
mejiro-ardan-clinochlore-line,8,mainichi_okan,Place 3rd or better in,67
mejiro-ardan-clinochlore-line,9,tenno_sho_autumn,Place 1st in,68
admire-vega-starry-nocturne,1,junior_make_debut,Participate in,12
admire-vega-starry-nocturne,2,hopeful_stakes,Place 5th or better in,24
admire-vega-starry-nocturne,3,satsuki_sho,Place 5th or better in,31
admire-vega-starry-nocturne,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
admire-vega-starry-nocturne,5,kikuka_sho,Participate in,44
admire-vega-starry-nocturne,6,takarazuka_kinen,Place 3rd or better in,60
admire-vega-starry-nocturne,7,tenno_sho_autumn,Place 3rd or better in,68
admire-vega-starry-nocturne,8,japan_cup,Place 1st in,70
matikanetannhauser-pan-paka-tiru-toto,1,junior_make_debut,Participate in,12
matikanetannhauser-pan-paka-tiru-toto,2,,Place 5th or better in 1 G1 race,24
matikanetannhauser-pan-paka-tiru-toto,3,satsuki_sho,Place 5th or better in,31
matikanetannhauser-pan-paka-tiru-toto,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
matikanetannhauser-pan-paka-tiru-toto,5,kikuka_sho,Place 3rd or better in,44
matikanetannhauser-pan-paka-tiru-toto,6,diamond_stakes,Place 3rd or better in,52
matikanetannhauser-pan-paka-tiru-toto,7,tenno_sho_spring,Place 3rd or better in,56
matikanetannhauser-pan-paka-tiru-toto,8,takarazuka_kinen,Place 3rd or better in,60
matikanetannhauser-pan-paka-tiru-toto,9,japan_cup,Place 3rd or better in,70
matikanetannhauser-pan-paka-tiru-toto,10,arima_kinen,Place 1st in,72
kitasan-black-crowning-ooban,1,junior_make_debut,Participate in,12
kitasan-black-crowning-ooban,2,,Have at least 5000 fans,30
kitasan-black-crowning-ooban,3,st_lite_kinen,Place 3rd or better in,42
kitasan-black-crowning-ooban,4,kikuka_sho,Place 3rd or better in,44
kitasan-black-crowning-ooban,5,arima_kinen,Place 3rd or better in,48
kitasan-black-crowning-ooban,6,osaka_hai,Place 3rd or better in,54
kitasan-black-crowning-ooban,7,tenno_sho_spring,Place 3rd or better in,56
kitasan-black-crowning-ooban,8,takarazuka_kinen,Place 3rd or better in,60
kitasan-black-crowning-ooban,9,tenno_sho_autumn,Place 3rd or better in,68
kitasan-black-crowning-ooban,10,japan_cup,Place 3rd or better in,70
kitasan-black-crowning-ooban,11,arima_kinen,Place 1st in,72
satono-diamond-natural-brilliance,1,junior_make_debut,Participate in,12
satono-diamond-natural-brilliance,2,satsuki_sho,Place 5th or better in,31
satono-diamond-natural-brilliance,3,tokyo_yushun_japanese_derby,Place 5th or better in,34
satono-diamond-natural-brilliance,4,kikuka_sho,Place 3rd or better in,44
satono-diamond-natural-brilliance,5,arima_kinen,Place 3rd or better in,48
satono-diamond-natural-brilliance,6,osaka_hai,Place 3rd or better in,54
satono-diamond-natural-brilliance,7,tenno_sho_spring,Place 3rd or better in,56
satono-diamond-natural-brilliance,8,kyoto_daishoten,Place 1st in,67
satono-diamond-natural-brilliance,9,tenno_sho_autumn,Place 1st in,68
satono-diamond-natural-brilliance,10,arima_kinen,Place 1st in,72
mejiro-bright-brunissage-line,1,junior_make_debut,Participate in,12
mejiro-bright-brunissage-line,2,hopeful_stakes,Place 5th or better in,24
mejiro-bright-brunissage-line,3,satsuki_sho,Place 5th or better in,31
mejiro-bright-brunissage-line,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
mejiro-bright-brunissage-line,5,kikuka_sho,Place 3rd or better in,44
mejiro-bright-brunissage-line,6,stayers_stakes,Place 3rd or better in,47
mejiro-bright-brunissage-line,7,tenno_sho_spring,Place 1st in,56
mejiro-bright-brunissage-line,8,tenno_sho_autumn,Place 3rd or better in,68
mejiro-bright-brunissage-line,9,arima_kinen,Place 1st in,72
fuji-kiseki-succes-etoile,1,junior_make_debut,Participate in,12
fuji-kiseki-succes-etoile,2,asahi_hai_futurity_stakes,Place 5th or better in,23
fuji-kiseki-succes-etoile,3,yayoi_sho,Place 5th or better in,29
fuji-kiseki-succes-etoile,4,satsuki_sho,Place 5th or better in,31
fuji-kiseki-succes-etoile,5,nhk_mile_cup,Place 5th or better in,33
fuji-kiseki-succes-etoile,6,kikuka_sho,Participate in,44
fuji-kiseki-succes-etoile,7,takamatsunomiya_kinen,Place 3rd or better in,54
fuji-kiseki-succes-etoile,8,yasuda_kinen,Place 3rd or better in,59
fuji-kiseki-succes-etoile,9,tenno_sho_autumn,Place 1st in,68
fuji-kiseki-succes-etoile,10,arima_kinen,Participate in,72
seiun-sky-soiree-de-chaton,1,junior_make_debut,Participate in,12
seiun-sky-soiree-de-chaton,2,,Have at least 3000 fans,25
seiun-sky-soiree-de-chaton,3,satsuki_sho,Place 5th or better in,31
seiun-sky-soiree-de-chaton,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
seiun-sky-soiree-de-chaton,5,kikuka_sho,Place 3rd or better in,44
seiun-sky-soiree-de-chaton,6,arima_kinen,Place 3rd or better in,48
seiun-sky-soiree-de-chaton,7,tenno_sho_spring,Place 3rd or better in,56
seiun-sky-soiree-de-chaton,8,takarazuka_kinen,Place 3rd or better in,60
seiun-sky-soiree-de-chaton,9,tenno_sho_autumn,Place 1st in,68
seiun-sky-soiree-de-chaton,10,arima_kinen,Place 1st in,72
nishino-flower-tiered-petal,1,junior_make_debut,Participate in,12
nishino-flower-tiered-petal,2,hanshin_juvenile_fillies,Place 5th or better in,23
nishino-flower-tiered-petal,3,oka_sho,Place 5th or better in,31
nishino-flower-tiered-petal,4,oaks,Participate in,34
nishino-flower-tiered-petal,5,sprinters_stakes,Place 3rd or better in,42
nishino-flower-tiered-petal,6,takamatsunomiya_kinen,Place 3rd or better in,54
nishino-flower-tiered-petal,7,yomiuri_milers_cup,Place 3rd or better in,56
nishino-flower-tiered-petal,8,yasuda_kinen,Place 1st in,59
nishino-flower-tiered-petal,9,sprinters_stakes,Place 1st in,66
yaeno-muteki-attack-of-the-four-white-meteors,1,junior_make_debut,Participate in,12
yaeno-muteki-attack-of-the-four-white-meteors,2,mainichi_hai,Place 5th or better in,30
yaeno-muteki-attack-of-the-four-white-meteors,3,satsuki_sho,Place 5th or better in,31
yaeno-muteki-attack-of-the-four-white-meteors,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
yaeno-muteki-attack-of-the-four-white-meteors,5,kikuka_sho,Participate in,44
yaeno-muteki-attack-of-the-four-white-meteors,6,osaka_hai,Place 3rd or better in,54
yaeno-muteki-attack-of-the-four-white-meteors,7,yasuda_kinen,Place 3rd or better in,59
yaeno-muteki-attack-of-the-four-white-meteors,8,takarazuka_kinen,Place 3rd or better in,60
yaeno-muteki-attack-of-the-four-white-meteors,9,tenno_sho_autumn,Place 1st in,68
nice-nature-run-win,1,junior_make_debut,Participate in,12
nice-nature-run-win,2,wakagoma_stakes,Place 3rd or better in,26
nice-nature-run-win,3,kokura_kinen,Place 3rd or better in,39
nice-nature-run-win,4,kikuka_sho,Place 3rd or better in,44
nice-nature-run-win,5,arima_kinen,Place 3rd or better in,48
nice-nature-run-win,6,takarazuka_kinen,Place 3rd or better in,60
nice-nature-run-win,7,tenno_sho_autumn,Place 3rd or better in,68
nice-nature-run-win,8,chunichi_shimbun_hai,Place 1st in,71
nice-nature-run-win,9,arima_kinen,Place 1st in,72
king-halo-noble-white-cheer-attire,1,junior_make_debut,Participate in,12
king-halo-noble-white-cheer-attire,2,hopeful_stakes,Place 5th or better in,24
king-halo-noble-white-cheer-attire,3,satsuki_sho,Place 5th or better in,31
king-halo-noble-white-cheer-attire,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
king-halo-noble-white-cheer-attire,5,kikuka_sho,Participate in,44
king-halo-noble-white-cheer-attire,6,takamatsunomiya_kinen,Place 1st in,54
king-halo-noble-white-cheer-attire,7,yasuda_kinen,Place 3rd or better in,59
king-halo-noble-white-cheer-attire,8,sprinters_stakes,Place 1st in,66
king-halo-noble-white-cheer-attire,9,tenno_sho_autumn,Place 1st in,68
ines-fujin-all-time-fever,1,junior_make_debut,Participate in,12
ines-fujin-all-time-fever,2,asahi_hai_futurity_stakes,Place 5th or better in,23
ines-fujin-all-time-fever,3,satsuki_sho,Place 5th or better in,31
ines-fujin-all-time-fever,4,tokyo_yushun_japanese_derby,Place 5th or better in,34
ines-fujin-all-time-fever,5,kikuka_sho,Participate in,44
ines-fujin-all-time-fever,6,osaka_hai,Place 3rd or better in,54
ines-fujin-all-time-fever,7,takarazuka_kinen,Place 3rd or better in,60
ines-fujin-all-time-fever,8,tenno_sho_autumn,Place 3rd or better in,68
ines-fujin-all-time-fever,9,japan_cup,Place 1st in,70
mejiro-palmer-line-breakthrough,1,junior_make_debut,Participate in,12
mejiro-palmer-line-breakthrough,2,,Have at least 9000 fans,35
mejiro-palmer-line-breakthrough,3,hakodate_kinen,Place 3rd or better in,37
mejiro-palmer-line-breakthrough,4,nikkei_shinshun_hai,Place 3rd or better in,49
mejiro-palmer-line-breakthrough,5,tenno_sho_spring,Place 3rd or better in,56
mejiro-palmer-line-breakthrough,6,takarazuka_kinen,Place 3rd or better in,60
mejiro-palmer-line-breakthrough,7,tenno_sho_autumn,Place 3rd or better in,68
mejiro-palmer-line-breakthrough,8,arima_kinen,Place 1st in,72
fine-motion-titania,1,junior_make_debut,Participate in,12
fine-motion-titania,2,,Have at least 3000 fans,24
fine-motion-titania,3,oka_sho,Place 5th or better in,31
fine-motion-titania,4,oaks,Place 5th or better in,34
fine-motion-titania,5,shuuka_sho,Place 3rd or better in,44
fine-motion-titania,6,queen_elizabeth_cup,Place 3rd or better in,45
fine-motion-titania,7,osaka_hai,Place 3rd or better in,54
fine-motion-titania,8,takarazuka_kinen,Place 3rd or better in,60
fine-motion-titania,9,sapporo_kinen,Place 3rd or better in,64
fine-motion-titania,10,tenno_sho_autumn,Place 1st in,68
curren-chan-ma-cherie,1,junior_make_debut,Participate in,12
curren-chan-ma-cherie,2,,Have at least 3000 fans,23
curren-chan-ma-cherie,3,fillies_revue,Place 5th or better in,29
curren-chan-ma-cherie,4,aoi_stakes,Place 5th or better in,34
curren-chan-ma-cherie,5,hakodate_sprint_stakes,Place 3rd or better in,36
curren-chan-ma-cherie,6,sprinters_stakes,Place 3rd or better in,42
curren-chan-ma-cherie,7,ocean_stakes,Place 3rd or better in,53
curren-chan-ma-cherie,8,takamatsunomiya_kinen,Place 1st in,54
curren-chan-ma-cherie,9,sprinters_stakes,Place 1st in,66
inari-one-inari-yukari-edomurasaki,1,junior_make_debut,Participate in,12
inari-one-inari-yukari-edomurasaki,2,,Have at least 3000 fans,24
inari-one-inari-yukari-edomurasaki,3,japan_dirt_derby,Place 5th or better in,37
inari-one-inari-yukari-edomurasaki,4,tokyo_daishoten,Place 1st in,48
inari-one-inari-yukari-edomurasaki,5,tenno_sho_spring,Place 3rd or better in,56
inari-one-inari-yukari-edomurasaki,6,takarazuka_kinen,Place 3rd or better in,60
inari-one-inari-yukari-edomurasaki,7,mainichi_okan,Place 2nd or better in,67
inari-one-inari-yukari-edomurasaki,8,tenno_sho_autumn,Place 3rd or better in,68
inari-one-inari-yukari-edomurasaki,9,arima_kinen,Place 1st in,72
sweep-tosho-platanus-witch,1,junior_make_debut,Participate in,12
sweep-tosho-platanus-witch,2,hanshin_juvenile_fillies,Place 5th or better in,23
sweep-tosho-platanus-witch,3,oka_sho,Place 5th or better in,31
sweep-tosho-platanus-witch,4,oaks,Place 5th or better in,34
sweep-tosho-platanus-witch,5,shuuka_sho,Place 1st in,44
sweep-tosho-platanus-witch,6,queen_elizabeth_cup,Place 3rd or better in,45
sweep-tosho-platanus-witch,7,yasuda_kinen,Place 3rd or better in,59
sweep-tosho-platanus-witch,8,takarazuka_kinen,Place 1st in,60
sweep-tosho-platanus-witch,9,tenno_sho_autumn,Place 3rd or better in,68
sweep-tosho-platanus-witch,10,queen_elizabeth_cup,Place 1st in,69
taiki-shuttle-bubblegum-memories,1,junior_make_debut,Participate in,12
taiki-shuttle-bubblegum-memories,2,shinzan_kinen,Place 5th or better in,25
taiki-shuttle-bubblegum-memories,3,nhk_mile_cup,Place 5th or better in,33
taiki-shuttle-bubblegum-memories,4,unicorn_stakes,Place 5th or better in,36
