id,slug,name,image,grade_badge_image,trophy_image,course_image,racetrack,direction,participants,grade,grade_display,terrain,distance_type,distance_m,season,time_of_day,career_class,schedule_month,schedule_half,fans_required,first_place_fans,core_distance
116,takarazuka_kinen,Takarazuka Kinen,takarazuka_kinen.png,gi.png,takarazuka_kinen_cup.png,hanshin_2200_turf_right.png,Hanshin,Right,18,GI,G1,Turf,Medium,2200,Spring,Daytime,Classic Class / Senior Class,June,Second Half,20000,15000,non_core_distance
117,unicorn_stakes,Unicorn Stakes,unicorn_stakes.png,giii.png,unicorn_cup.png,tokyo_1600_dirt_left.png,Tokyo,Left,16,GIII,G3,Dirt,Mile,1600,Spring,Daytime,Classic Class,June,Second Half,750,3500,core_distance
118,yonago_stakes,Yonago Stakes,yonago_stakes.png,op.png,,hanshin_1600_turf_right.png,Hanshin,Right,18,OP,OP,Turf,Mile,1600,Spring,Daytime,Classic Class / Senior Class,June,Second Half,350,2500,core_distance
119,cbc_sho,CBC Sho,cbc_sho.png,giii.png,falco_cup.png,chukyo_1200_turf_left.png,Chukyo,Left,18,GIII,G3,Turf,Short,1200,Summer,Daytime,Classic Class,July,First Half,1250,3900,core_distance
120,hakodate_kinen,Hakodate Kinen,hakodate_kinen.png,giii.png,giii_trophy.png,hakodate_2000_turf_right.png,Hakodate,Right,16,GIII,G3,Turf,Medium,2000,Summer,Daytime,Classic Class / Senior Class,July,First Half,1500,4100,core_distance
121,japan_dirt_derby,Japan Dirt Derby,japan_dirt_derby.png,gi.png,japan_dirt_cup.png,ooi_2000_dirt_right.png,Ooi,Right,16,GI,G1,Dirt,Medium,2000,Summer,Night,Classic Class / Senior Class,July,First Half,4000,4500,core_distance
122,marine_stakes,Marine Stakes,marine_stakes.png,op.png,,hakodate_1700_dirt_right.png,Hakodate,Right,14,OP,OP,Dirt,Mile,1700,Summer,Daytime,Classic Class / Senior Class,July,First Half,350,2200,non_core_distance
123,meitetsu_hai,Meitetsu Hai,meitetsu_hai.png,op.png,,chukyo_1800_dirt_left.png,Chukyo,Left,16,OP,OP,Dirt,Mile,1800,Summer,Daytime,Classic Class / Senior Class,July,First Half,350,2300,non_core_distance
124,procyon_stakes,Procyon Stakes,procyon_stakes.png,giii.png,falco_cup.png,chukyo_1400_dirt_left.png,Chukyo,Left,16,GIII,G3,Dirt,Short,1400,Summer,Daytime,Classic Class,July,First Half,1000,3600,non_core_distance
125,radio_nikkei_sho,Radio Nikkei Sho,radio_nikkei_sho.png,giii.png,nikkei_sho_cup.png,fukushima_1800_turf_right.png,Fukushima,Right,16,GIII,G3,Turf,Mile,1800,Summer,Daytime,Classic Class,July,First Half,1250,3800,non_core_distance
126,sparking_lady_cup,Sparking Lady Cup,sparking_lady_cup.png,giii.png,,kawasaki_1600_dirt_left.png,Kawasaki,Left,14,GIII,G3,Dirt,Mile,1600,Summer,Night,Classic Class / Senior Class,July,First Half,1000,2500,core_distance
127,tanabata_sho,Tanabata Sho,tanabata_sho.png,giii.png,nikkei_sho_cup.png,fukushima_2000_turf_right.png,Fukushima,Right,16,GIII,G3,Turf,Medium,2000,Summer,Daytime,Classic Class / Senior Class,July,First Half,1500,4100,core_distance
128,tomoe_sho,Tomoe Sho,tomoe_sho.png,op.png,,hakodate_1800_turf_right.png,Hakodate,Right,16,OP,OP,Turf,Mile,1800,Summer,Daytime,Classic Class / Senior Class,July,First Half,350,2400,non_core_distance
129,chukyo_kinen,Chukyo Kinen,chukyo_kinen.png,giii.png,falco_cup.png,chukyo_1600_turf_left.png,Chukyo,Left,16,GIII,G3,Turf,Mile,1600,Summer,Daytime,Classic Class / Senior Class,July,Second Half,1250,3900,core_distance
130,fukushima_tv_open,Fukushima TV Open,fukushima_tv_open.png,op.png,,fukushima_1200_turf_right.png,Fukushima,Right,14,OP,OP,Turf,Short,1200,Summer,Daytime,Classic Class / Senior Class,July,Second Half,350,2300,core_distance
131,ibis_summer_dash,Ibis Summer Dash,ibis_summer_dash.png,giii.png,giii_trophy.png,niigata_1000_turf_straight.png,Niigata,Straight,18,GIII,G3,Turf,Short,1000,Summer,Daytime,Classic Class,July,Second Half,1250,3900,non_core_distance
132,mercury_cup,Mercury Cup,mercury_cup.png,giii.png,,morioka_2000_dirt_left.png,Morioka,Left,14,GIII,G3,Dirt,Medium,2000,Summer,Evening,Classic Class / Senior Class,July,Second Half,1000,2300,core_distance
133,queen_stakes,Queen Stakes,queen_stakes.png,giii.png,sapporo_cup.png,sapporo_1800_turf_right.png,Sapporo,Right,14,GIII,G3,Turf,Mile,1800,Summer,Daytime,Classic Class / Senior Class,July,Second Half,1000,3600,non_core_distance
134,aso_stakes,Aso Stakes,aso_stakes.png,op.png,,kokura_1700_dirt_right.png,Kokura,Right,16,OP,OP,Dirt,Mile,1700,Summer,Daytime,Classic Class / Senior Class,August,First Half,350,2200,non_core_distance
135,elm_stakes,Elm Stakes,elm_stakes.png,giii.png,sapporo_cup.png,sapporo_1700_dirt_right.png,Sapporo,Right,14,GIII,G3,Dirt,Mile,1700,Summer,Daytime,Classic Class / Senior Class,August,First Half,1000,3600,non_core_distance
136,kanetsu_stakes,Kanetsu Stakes,kanetsu_stakes.png,op.png,,niigata_1800_turf_left.png,Niigata,Left,18,OP,OP,Turf,Mile,1800,Summer,Daytime,Classic Class / Senior Class,August,First Half,350,2400,non_core_distance
137,kokura_kinen,Kokura Kinen,kokura_kinen.png,giii.png,kokura_cup.png,kokura_2000_turf_right.png,Kokura,Right,18,GIII,G3,Turf,Medium,2000,Summer,Daytime,Classic Class / Senior Class,August,First Half,1500,4100,core_distance
138,leopard_stakes,Leopard Stakes,leopard_stakes.png,giii.png,giii_trophy.png,niigata_1800_dirt_left.png,Niigata,Left,15,GIII,G3,Dirt,Mile,1800,Summer,Daytime,Classic Class,August,First Half,1250,4000,non_core_distance
139,sapporo_nikkei_open,Sapporo Nikkei Open,sapporo_nikkei_open.png,op.png,,sapporo_2600_turf_right.png,Sapporo,Right,14,OP,OP,Turf,Long,2600,Summer,Daytime,Classic Class / Senior Class,August,First Half,350,2600,non_core_distance
140,sekiya_kinen,Sekiya Kinen,sekiya_kinen.png,giii.png,giii_trophy.png,niigata_1600_turf_left.png,Niigata,Left,18,GIII,G3,Turf,Mile,1600,Summer,Daytime,Classic Class / Senior Class,August,First Half,1250,3900,core_distance
141,uhb_sho,UHB Sho,uhb_sho.png,op.png,,sapporo_1200_turf_right.png,Sapporo,Right,16,OP,OP,Turf,Short,1200,Summer,Daytime,Classic Class / Senior Class,August,First Half,350,2300,core_distance
142,bsn_sho,BSN Sho,bsn_sho.png,op.png,,niigata_1800_dirt_left.png,Niigata,Left,15,OP,OP,Dirt,Mile,1800,Summer,Daytime,Classic Class / Senior Class,August,Second Half,350,2300,non_core_distance
143,cluster_cup,Cluster Cup,cluster_cup.png,giii.png,,morioka_1200_dirt_left.png,Morioka,Left,14,GIII,G3,Dirt,Short,1200,Summer,Evening,Classic Class / Senior Class,August,Second Half,1000,2300,core_distance
144,keeneland_cup,Keeneland Cup,keeneland_cup.png,giii.png,sapporo_cup.png,sapporo_1200_turf_right.png,Sapporo,Right,16,GIII,G3,Turf,Short,1200,Summer,Daytime,Classic Class / Senior Class,August,Second Half,1500,4100,core_distance
145,kitakyushu_kinen,Kitakyushu Kinen,kitakyushu_kinen.png,giii.png,giii_trophy.png,kokura_1200_turf_right.png,Kokura,Right,18,GIII,G3,Turf,Short,1200,Summer,Daytime,Classic Class / Senior Class,August,Second Half,1250,3900,core_distance
146,kokura_nikkei_open,Kokura Nikkei Open,kokura_nikkei_open.png,op.png,,kokura_1800_turf_right.png,Kokura,Right,16,OP,OP,Turf,Mile,1800,Summer,Daytime,Classic Class / Senior Class,August,Second Half,350,2400,non_core_distance
147,nst_sho,NST Sho,nst_sho.png,op.png,,niigata_1200_dirt_left.png,Niigata,Left,15,OP,OP,Dirt,Short,1200,Summer,Daytime,Classic Class / Senior Class,August,Second Half,350,2200,core_distance
148,sapporo_kinen,Sapporo Kinen,sapporo_kinen.png,gii.png,sapporo_cup.png,sapporo_2000_turf_right.png,Sapporo,Right,16,GII,G2,Turf,Medium,2000,Summer,Daytime,Classic Class,August,Second Half,2000,7000,core_distance
149,toki_stakes,Toki Stakes,toki_stakes.png,op.png,,niigata_1400_turf_left.png,Niigata,Left,18,OP,OP,Turf,Short,1400,Summer,Daytime,Classic Class / Senior Class,August,Second Half,350,2500,non_core_distance
150,centaur_stakes,Centaur Stakes,centaur_stakes.png,gii.png,mainichi_cup.png,hanshin_1200_turf_right.png,Hanshin,Right,16,GII,G2,Turf,Short,1200,Summer,Daytime,Classic Class,September,First Half,1900,5900,core_distance
151,enif_stakes,Enif Stakes,enif_stakes.png,op.png,,hanshin_1400_dirt_right.png,Hanshin,Right,16,OP,OP,Dirt,Short,1400,Summer,Daytime,Classic Class / Senior Class,September,First Half,350,2300,non_core_distance
152,keisei_hai_autumn_handicap,Keisei Hai Autumn Handicap,keisei_hai_autumn_handicap.png,giii.png,nakayama_g3_cup.png,nakayama_1600_turf_right.png,Nakayama,Right,16,GIII,G3,Turf,Mile,1600,Summer,Daytime,Classic Class / Senior Class,September,First Half,1250,3900,core_distance
153,niigata_kinen,Niigata Kinen,niigata_kinen.png,giii.png,giii_trophy.png,niigata_2000_turf_left.png,Niigata,Left,18,GIII,G3,Turf,Medium,2000,Summer,Daytime,Classic Class / Senior Class,September,First Half,1500,4100,core_distance
154,radio_nippon_sho,Radio Nippon Sho,radio_nippon_sho.png,op.png,,nakayama_1800_dirt_right.png,Nakayama,Right,16,OP,OP,Dirt,Mile,1800,Summer,Daytime,Classic Class / Senior Class,September,First Half,350,2200,non_core_distance
155,rose_stakes,Rose Stakes,rose_stakes.png,gii.png,mainichi_cup.png,hanshin_1800_turf_right.png,Hanshin,Right,18,GII,G2,Turf,Mile,1800,Summer,Daytime,Classic Class,September,First Half,1750,5200,non_core_distance
156,shion_stakes,Shion Stakes,shion_stakes.png,giii.png,giii_trophy.png,nakayama_2000_turf_right.png,Nakayama,Right,18,GIII,G3,Turf,Medium,2000,Summer,Daytime,Classic Class,September,First Half,1000,3500,core_distance
157,tancho_stakes,Tancho Stakes,tancho_stakes.png,op.png,,sapporo_2600_turf_right.png,Sapporo,Right,14,OP,OP,Turf,Long,2600,Summer,Daytime,Classic Class / Senior Class,September,First Half,350,2400,non_core_distance
158,all_comers,All Comers,all_comers.png,gii.png,nakayama_g3_cup.png,nakayama_2200_turf_right.png,Nakayama,Right,18,GII,G2,Turf,Medium,2200,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,2000,6700,non_core_distance
159,kobe_shimbun_hai,Kobe Shimbun Hai,kobe_shimbun_hai.png,gii.png,mainichi_cup.png,hanshin_2400_turf_right.png,Hanshin,Right,18,GII,G2,Turf,Medium,2400,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,1750,5400,core_distance
160,nagatsuki_stakes,Nagatsuki Stakes,nagatsuki_stakes.png,op.png,,nakayama_1200_dirt_right.png,Nakayama,Right,16,OP,OP,Dirt,Short,1200,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,350,2200,core_distance
161,port_island_stakes,Port Island Stakes,port_island_stakes.png,op.png,,hanshin_1600_turf_right.png,Hanshin,Right,18,OP,OP,Turf,Mile,1600,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,350,2500,core_distance
162,sazanka_tv_hai,Sazanka TV Hai,sazanka_tv_hai.png,gii.png,,funabashi_1800_dirt_left.png,Funabashi,Left,14,GII,G2,Dirt,Mile,1800,Autumn,Night,Classic Class / Senior Class,September,Second Half,1800,3200,non_core_distance
163,sirius_stakes,Sirius Stakes,sirius_stakes.png,giii.png,mainichi_cup.png,hanshin_2000_dirt_right.png,Hanshin,Right,16,GIII,G3,Dirt,Medium,2000,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,1000,3600,core_distance
164,sprinters_stakes,Sprinters Stakes,sprinters_stakes.png,gi.png,sprinter_cup.png,nakayama_1200_turf_right.png,Nakayama,Right,16,GI,G1,Turf,Short,1200,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,15000,13000,core_distance
165,st_lite_kinen,St. Lite Kinen,st_lite_kinen.png,gii.png,kinen_cup.png,nakayama_2200_turf_right.png,Nakayama,Right,18,GII,G2,Turf,Medium,2200,Autumn,Daytime,Classic Class / Senior Class,September,Second Half,1750,5400,non_core_distance
166,fuchu_umamusume_stakes,Fuchu Umamusume Stakes,fuchu_umamusume_stakes.png,gii.png,fuchu_cup.png,tokyo_1800_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Mile,1800,Autumn,Daytime,Classic Class / Senior Class,October,First Half,1800,5500,non_core_distance
167,green_channel_cup,Green Channel Cup,green_channel_cup.png,op.png,,tokyo_1400_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Short,1400,Autumn,Daytime,Classic Class / Senior Class,October,First Half,350,2300,non_core_distance
168,kyoto_daishoten,Kyoto Daishoten,kyoto_daishoten.png,gii.png,gii_trophy.png,kyoto_2400_turf_right.png,Kyoto,Right,18,GII,G2,Turf,Medium,2400,Autumn,Daytime,Classic Class / Senior Class,October,First Half,2000,6700,core_distance
169,ladies_prelude,Ladies' Prelude,ladies_prelude.png,gii.png,,ooi_1800_dirt_right.png,Oi,Right,16,GII,G2,Dirt,Mile,1800,Autumn,Night,Classic Class / Senior Class,October,First Half,1800,3100,non_core_distance
170,m_c_nambu_hai,M.C. Nambu Hai,m_c_nambu_hai.png,gi.png,,tokyo_1600_dirt_left.png,Tokyo,Left,16,GI,G1,Dirt,Mile,1600,Autumn,Daytime,Classic Class / Senior Class,October,First Half,,,core_distance
171,mainichi_okan,Mainichi Okan,mainichi_okan.png,gii.png,mainichi_okan_cup.png,tokyo_1800_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Mile,1800,Autumn,Daytime,Classic Class / Senior Class,October,First Half,2000,6700,non_core_distance
172,october_stakes,October Stakes,october_stakes.png,op.png,,tokyo_2000_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Medium,2000,Autumn,Daytime,Classic Class / Senior Class,October,First Half,350,2600,core_distance
173,opal_stakes,Opal Stakes,opal_stakes.png,op.png,,kyoto_1200_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Short,1200,Autumn,Daytime,Classic Class / Senior Class,October,First Half,350,2500,core_distance
174,shinetsu_stakes,Shinetsu Stakes,shinetsu_stakes.png,op.png,,niigata_1400_turf_left.png,Niigata,Left,18,OP,OP,Turf,Short,1400,Autumn,Daytime,Classic Class / Senior Class,October,First Half,350,2500,non_core_distance
175,tokyo_hai,Tokyo Hai,tokyo_hai.png,gii.png,,ooi_1200_dirt_right.png,Ooi,Right,16,GII,G2,Dirt,Short,1200,Autumn,Night,Classic Class / Senior Class,October,First Half,1800,3500,core_distance
176,uzumasa_stakes,Uzumasa Stakes,uzumasa_stakes.png,op.png,,kyoto_1800_dirt_right.png,Kyoto,Right,16,OP,OP,Dirt,Mile,1800,Autumn,Daytime,Classic Class / Senior Class,October,First Half,350,2200,non_core_distance
177,brazil_cup,Brazil Cup,brazil_cup.png,op.png,,tokyo_2100_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Medium,2100,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,350,2300,non_core_distance
178,cassiopeia_stakes,Cassiopeia Stakes,cassiopeia_stakes.png,op.png,,kyoto_1800_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Mile,1800,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,350,2600,non_core_distance
179,fuji_stakes,Fuji Stakes,fuji_stakes.png,gii.png,siuu.png,tokyo_1600_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Mile,1600,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,1900,5900,core_distance
180,kikuka_sho,Kikuka Sho,kikuka_sho.png,gi.png,kikuka_cup.png,kyoto_3000_turf_right.png,Kyoto,Right,18,GI,G1,Turf,Long,3000,Autumn,Daytime,Classic Class,October,Second Half,7500,12000,non_core_distance
181,lumiere_autumn_dash,Lumiere Autumn Dash,lumiere_autumn_dash.png,op.png,,niigata_1000_turf_straight.png,Niigata,Straight,18,OP,OP,Turf,Short,1000,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,350,2500,non_core_distance
182,muromachi_stakes,Muromachi Stakes,muromachi_stakes.png,op.png,,kyoto_1200_dirt_right.png,Kyoto,Right,16,OP,OP,Dirt,Short,1200,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,350,2200,core_distance
183,shuka_sho,Shuka Sho,shuka_sho.png,gi.png,shuka_cup.png,kyoto_2000_turf_right.png,Kyoto,Right,18,GI,G1,Turf,Medium,2000,Autumn,Daytime,Classic Class,October,Second Half,7500,10000,core_distance
184,swan_stakes,Swan Stakes,swan_stakes.png,gii.png,gii_trophy.png,kyoto_1400_turf_right.png,Kyoto,Right,18,GII,G2,Turf,Short,1400,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,1900,5900,non_core_distance
185,tenno_sho_autumn,Tenno Sho (Autumn),tenno_sho_autumn.png,gi.png,tenno_cup.png,tokyo_2000_turf_left.png,Tokyo,Left,18,GI,G1,Turf,Medium,2000,Autumn,Daytime,Classic Class / Senior Class,October,Second Half,20000,15000,core_distance
186,copa_republica_argentina,Copa Republica Argentina,copa_republica_argentina.png,gii.png,copa_america.png,tokyo_2500_turf_left.png,Tokyo,Left,18,GII,G2,Turf,Long,2500,Autumn,Daytime,Classic Class / Senior Class,November,First Half,1900,5700,non_core_distance
187,fukushima_kinen,Fukushima Kinen,fukushima_kinen.png,giii.png,nikkei_sho_cup.png,fukushima_2000_turf_right.png,Fukushima,Right,16,GIII,G3,Turf,Medium,2000,Autumn,Daytime,Classic Class / Senior Class,November,First Half,1500,4100,core_distance
188,jbc_classic,JBC Classic,jbc_classic.png,gi.png,JBC_cup.png,ooi_2000_dirt_right.png,Oi,Right,16,GI,G1,Dirt,Medium,2000,Autumn,Evening,Classic Class / Senior Class,November,First Half,12000,8000,core_distance
189,jbc_ladies_classic,JBC Ladies’ Classic,jbc_ladies_classic.png,gi.png,jbc_ladies_cup.png,ooi_1800_dirt_right.png,Oi,Right,16,GI,G1,Dirt,Mile,1800,Autumn,Evening,Classic Class / Senior Class,November,First Half,12000,4100,non_core_distance
190,jbc_sprint,JBC Sprint,jbc_sprint.png,gi.png,jbc_sprint_cup.png,ooi_1200_dirt_right.png,Oi,Right,16,GI,G1,Dirt,Short,1200,Autumn,Evening,Classic Class / Senior Class,November,First Half,12000,6000,core_distance
191,miyako_stakes,Miyako Stakes,miyako_stakes.png,giii.png,gii_trophy.png,kyoto_1800_dirt_right.png,Kyoto,Right,16,GIII,G3,Dirt,Mile,1800,Autumn,Daytime,Classic Class / Senior Class,November,First Half,750,3800,non_core_distance
192,musashino_stakes,Musashino Stakes,musashino_stakes.png,giii.png,siuu.png,tokyo_1600_dirt_left.png,Tokyo,Left,16,GIII,G3,Dirt,Mile,1600,Autumn,Daytime,Classic Class / Senior Class,November,First Half,1250,3800,core_distance
193,oro_cup,Oro Cup,oro_cup.png,op.png,,tokyo_1400_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Short,1400,Autumn,Daytime,Classic Class / Senior Class,November,First Half,350,2500,non_core_distance
194,queen_elizabeth_ii_cup,Queen Elizabeth II Cup,queen_elizabeth_ii_cup.png,gi.png,queen_eliza_cup.png,kyoto_2200_turf_right.png,Kyoto,Right,18,GI,G1,Turf,Medium,2200,Autumn,Daytime,Classic Class / Senior Class,November,First Half,10000,10500,non_core_distance
195,andromeda_stakes,Andromeda Stakes,andromeda_stakes.png,op.png,,kyoto_2000_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Medium,2000,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,350,2600,core_distance
196,autumn_leaf_stakes,Autumn Leaf Stakes,autumn_leaf_stakes.png,op.png,,kyoto_1200_dirt_right.png,Kyoto,Right,16,OP,OP,Dirt,Short,1200,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,350,2200,core_distance
197,capital_stakes,Capital Stakes,capital_stakes.png,op.png,,tokyo_1600_turf_left.png,Tokyo,Left,18,OP,OP,Turf,Mile,1600,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,350,2500,core_distance
198,fukushima_minyu_cup,Fukushima Minyu Cup,fukushima_minyu_cup.png,op.png,,fukushima_1700_dirt_right.png,Fukushima,Right,15,OP,OP,Dirt,Mile,1700,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,350,2300,non_core_distance
199,japan_cup,Japan Cup,japan_cup.png,gi.png,japan_trophy.png,tokyo_2400_turf_left.png,Tokyo,Left,18,GI,G1,Turf,Medium,2400,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,25000,30000,core_distance
200,keihan_hai,Keihan Hai,keihan_hai.png,giii.png,gii_trophy.png,kyoto_1200_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Short,1200,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,1250,3900,core_distance
201,mile_championship,Mile Championship,mile_championship.png,gi.png,mile_cup.png,kyoto_1600_turf_right.png,Kyoto,Right,18,GI,G1,Turf,Mile,1600,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,15000,11000,core_distance
202,shimotsuki_stakes,Shimotsuki Stakes,shimotsuki_stakes.png,op.png,,tokyo_1400_dirt_left.png,Tokyo,Left,16,OP,OP,Dirt,Short,1400,Autumn,Daytime,Classic Class / Senior Class,November,Second Half,350,2200,non_core_distance
203,capella_stakes,Capella Stakes,capella_stakes.png,giii.png,capella_cup.png,nakayama_1200_dirt_right.png,Nakayama,Right,16,GIII,G3,Dirt,Short,1200,Winter,Daytime,Classic Class / Senior Class,December,First Half,1000,3600,core_distance
204,challenge_cup,Challenge Cup,challenge_cup.png,giii.png,mainichi_cup.png,hanshin_2000_turf_right.png,Hanshin,Right,16,GIII,G3,Turf,Medium,2000,Autumn,Daytime,Classic Class / Senior Class,December,First Half,1500,4100,core_distance
205,champions_cup,Champions Cup,champions_cup.png,gi.png,dirt_cup.png,chukyo_1800_dirt_left.png,Chukyo,Left,16,GI,G1,Dirt,Mile,1800,Winter,Daytime,Classic Class / Senior Class,December,First Half,12000,10000,non_core_distance
206,chunichi_shimbun_hai,Chunichi Shimbun Hai,chunichi_shimbun_hai.png,giii.png,falco_cup.png,chukyo_2000_turf_left.png,Chukyo,Left,18,GIII,G3,Turf,Medium,2000,Winter,Daytime,Classic Class / Senior Class,December,First Half,1500,4100,core_distance
207,december_stakes,December Stakes,december_stakes.png,op.png,,nakayama_1800_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Mile,1800,Winter,Daytime,Classic Class / Senior Class,December,First Half,350,2600,non_core_distance
208,lapis_lazuli_stakes,Lapis Lazuli Stakes,lapis_lazuli_stakes.png,op.png,,nakayama_1200_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Short,1200,Winter,Daytime,Classic Class / Senior Class,December,First Half,350,2500,core_distance
209,queen_sho,Queen Sho,queen_sho.png,giii.png,,funabashi_1800_dirt_left.png,Funabashi,Left,14,GIII,G3,Dirt,Mile,1800,Winter,Night,Classic Class / Senior Class,December,First Half,1000,2100,non_core_distance
210,rigel_stakes,Rigel Stakes,rigel_stakes.png,op.png,,hanshin_1600_turf_right.png,Hanshin,Right,18,OP,OP,Turf,Mile,1600,Winter,Daytime,Classic Class / Senior Class,December,First Half,350,2500,core_distance
211,shiwasu_stakes,Shiwasu Stakes,shiwasu_stakes.png,op.png,,nakayama_1800_dirt_right.png,Nakayama,Right,16,OP,OP,Dirt,Mile,1800,Winter,Daytime,Classic Class / Senior Class,December,First Half,350,2300,non_core_distance
212,stayers_stakes,Stayers Stakes,stayers_stakes.png,gii.png,nakayama_g3_cup.png,nakayama_3600_turf_right.png,Nakayama,Right,16,GII,G2,Turf,Long,3600,Winter,Daytime,Classic Class / Senior Class,December,First Half,2000,6200,core_distance
213,tanzanite_stakes,Tanzanite Stakes,tanzanite_stakes.png,op.png,,hanshin_1200_turf_right.png,Hanshin,Right,16,OP,OP,Turf,Short,1200,Winter,Daytime,Classic Class / Senior Class,December,First Half,350,2300,core_distance
214,turquoise_stakes,Turquoise Stakes,turquoise_stakes.png,giii.png,nakayama_g3_cup.png,nakayama_1600_turf_right.png,Nakayama,Right,16,GIII,G3,Turf,Mile,1600,Winter,Daytime,Classic Class / Senior Class,December,First Half,1000,3600,core_distance
215,arima_kinen,Arima Kinen,arima_kinen.png,gi.png,arima_kinen_cup.png,nakayama_2500_turf_right.png,Nakayama,Right,16,GI,G1,Turf,Long,2500,Winter,Daytime,Classic Class / Senior Class,December,Second Half,25000,30000,non_core_distance
216,betelgeuse_stakes,Betelgeuse Stakes,betelgeuse_stakes.png,op.png,,hanshin_1800_dirt_right.png,Hanshin,Right,16,OP,OP,Dirt,Mile,1800,Winter,Daytime,Classic Class / Senior Class,December,Second Half,350,2200,non_core_distance
217,galaxy_stakes,Galaxy Stakes,galaxy_stakes.png,op.png,,hanshin_1400_dirt_right.png,Hanshin,Right,16,OP,OP,Dirt,Short,1400,Winter,Daytime,Classic Class / Senior Class,December,Second Half,350,2200,non_core_distance
218,hanshin_cup,Hanshin Cup,hanshin_cup.png,gii.png,mainichi_cup.png,hanshin_1400_turf_right.png,Hanshin,Right,18,GII,G2,Turf,Short,1400,Winter,Daytime,Classic Class / Senior Class,December,Second Half,2000,6700,non_core_distance
219,tokyo_daishoten,Tokyo Daishoten,tokyo_daishoten.png,gi.png,tokyo_daishoten_cup.png,ooi_2000_dirt_right.png,Oi,Right,16,GI,G1,Dirt,Medium,2000,Winter,Evening,Classic Class / Senior Class,December,Second Half,12000,8000,core_distance
220,aichi_hai,Aichi Hai,aichi_hai.png,giii.png,falco_cup.png,chukyo_2000_turf_left.png,Chukyo,Left,18,GIII,G3,Turf,Medium,2000,Winter,Daytime,Senior Class,January,First Half,750,3600,core_distance
221,carbuncle_stakes,Carbuncle Stakes,carbuncle_stakes.png,op.png,,nakayama_1200_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Short,1200,Winter,Daytime,Senior Class,January,First Half,350,2300,core_distance
222,january_stakes,January Stakes,january_stakes.png,op.png,,nakayama_1200_dirt_right.png,Nakayama,Right,16,OP,OP,Dirt,Short,1200,Winter,Daytime,Senior Class,January,First Half,350,2200,core_distance
223,kyoto_kimpai,Kyoto Kimpai,kyoto_kimpai.png,giii.png,gii_trophy.png,kyoto_1600_turf_right.png,Kyoto,Right,18,GIII,G3,Turf,Mile,1600,Winter,Daytime,Senior Class,January,First Half,1500,4100,core_distance
224,manyo_stakes,Manyo Stakes,manyo_stakes.png,op.png,,kyoto_3000_turf_right.png,Kyoto,Right,18,OP,OP,Turf,Long,3000,Winter,Daytime,Senior Class,January,First Half,350,2400,non_core_distance
225,nakayama_kimpai,Nakayama Kimpai,nakayama_kimpai.png,giii.png,nakayama_g3_cup.png,nakayama_2000_turf_right.png,Nakayama,Right,18,GIII,G3,Turf,Medium,2000,Winter,Daytime,Senior Class,January,First Half,1500,4100,core_distance
226,new_year_stakes,New Year Stakes,new_year_stakes.png,op.png,,nakayama_1600_turf_right.png,Nakayama,Right,16,OP,OP,Turf,Mile,1600,Winter,Daytime,Senior Class,January,First Half,350,2500,core_distance
227,nikkei_shinshun_hai,Nikkei Shinshun Hai,nikkei_shinshun_hai.png,gii.png,gii_trophy.png,kyoto_2400_turf_right.png,Kyoto,Right,18,GII,G2,Turf,Medium,2400,Winter,Daytime,Senior Class,January,First Half,1800,5700,core_distance
228,pollux_stakes,Pollux Stakes,pollux_stakes.png,op.png,,nakayama_1800_dirt_right.png,Nakayama,Right,16,OP,OP,Dirt,Mile,1800,Winter,Daytime,Senior Class,January,First Half,350,2200,non_core_distance
