race_slug,item_id,quantity,drop_rate,sort_order
swan_stakes,monies,400-2400,100%,3
swan_stakes,support_points,20-120,84%,4
swan_stakes,goddess_statue,1,1%,5
tenno_sho_autumn,medium_racing_shoes,1,100%,1
tenno_sho_autumn,carats,5,5%,2
tenno_sho_autumn,monies,400-2400,100%,3
tenno_sho_autumn,tenno_sho_autumn_winner_s_sash,1,100%,4
tenno_sho_autumn,support_points,1,100%,5
tenno_sho_autumn,goddess_statue,20-120,84%,6
copa_republica_argentina,long_racing_shoes,1,100%,1
copa_republica_argentina,carats,5,5%,2
copa_republica_argentina,monies,400-2400,100%,3
copa_republica_argentina,support_points,20-120,84%,4
copa_republica_argentina,goddess_statue,1,1%,5
fukushima_kinen,medium_racing_shoes,1,100%,1
fukushima_kinen,carats,5,5%,2
fukushima_kinen,monies,400-2400,100%,3
fukushima_kinen,support_points,20-120,84%,4
fukushima_kinen,goddess_statue,1,1%,5
jbc_classic,dirt_racing_shoes,1,100%,1
jbc_classic,carats,5,5%,2
jbc_classic,monies,400-2400,100%,3
jbc_classic,jbc_classic_winner_s_sash,1,100%,4
jbc_classic,support_points,1,100%,5
jbc_classic,goddess_statue,20-120,84%,6
jbc_ladies_classic,dirt_racing_shoes,1,100%,1
jbc_ladies_classic,carats,5,5%,2
jbc_ladies_classic,monies,400-2400,100%,3
jbc_ladies_classic,jbc_ladies_classic_winner_s_sash,1,100%,4
jbc_ladies_classic,support_points,1,100%,5
jbc_ladies_classic,goddess_statue,20-120,84%,6
jbc_sprint,dirt_racing_shoes,1,100%,1
jbc_sprint,carats,5,5%,2
jbc_sprint,monies,400-2400,100%,3
jbc_sprint,jbc_sprint_winner_s_sash,1,100%,4
jbc_sprint,support_points,1,100%,5
jbc_sprint,goddess_statue,20-120,84%,6
miyako_stakes,dirt_racing_shoes,1,100%,1
miyako_stakes,carats,5,5%,2
miyako_stakes,monies,400-2400,100%,3
miyako_stakes,support_points,20-120,84%,4
miyako_stakes,goddess_statue,1,1%,5
musashino_stakes,dirt_racing_shoes,1,100%,1
musashino_stakes,carats,5,5%,2
musashino_stakes,monies,400-2400,100%,3
musashino_stakes,support_points,20-120,84%,4
musashino_stakes,goddess_statue,1,1%,5
oro_cup,monies,200,100%,1
oro_cup,support_points,20,5%,2
queen_elizabeth_ii_cup,medium_racing_shoes,1,100%,1
queen_elizabeth_ii_cup,carats,5,5%,2
queen_elizabeth_ii_cup,monies,400-2400,100%,3
queen_elizabeth_ii_cup,queen_elizabeth_ii_cup_winner_s_sash,1,100%,4
queen_elizabeth_ii_cup,support_points,1,100%,5
queen_elizabeth_ii_cup,goddess_statue,20-120,84%,6
andromeda_stakes,monies,200,100%,1
andromeda_stakes,support_points,20,5%,2
autumn_leaf_stakes,monies,200,100%,1
autumn_leaf_stakes,support_points,20,5%,2
capital_stakes,monies,200,100%,1
capital_stakes,support_points,20,5%,2
fukushima_minyu_cup,monies,200,100%,1
fukushima_minyu_cup,support_points,20,5%,2
japan_cup,medium_racing_shoes,1,100%,1
japan_cup,carats,5,5%,2
japan_cup,monies,400-2400,100%,3
japan_cup,japan_cup_winner_s_sash,1,100%,4
japan_cup,support_points,1,100%,5
japan_cup,goddess_statue,20-120,84%,6
keihan_hai,sprint_racing_shoes,1,100%,1
keihan_hai,carats,5,5%,2
keihan_hai,monies,400-2400,100%,3
keihan_hai,support_points,20-120,84%,4
keihan_hai,goddess_statue,1,1%,5
mile_championship,mile_racing_shoes,1,100%,1
mile_championship,carats,5,5%,2
mile_championship,monies,400-2400,100%,3
mile_championship,mile_ch_winner_s_sash,1,100%,4
mile_championship,support_points,1,100%,5
mile_championship,goddess_statue,20-120,84%,6
shimotsuki_stakes,monies,200,100%,1
shimotsuki_stakes,support_points,20,5%,2
capella_stakes,dirt_racing_shoes,1,100%,1
capella_stakes,carats,5,5%,2
capella_stakes,monies,400-2400,100%,3
capella_stakes,support_points,20-120,84%,4
capella_stakes,goddess_statue,1,1%,5
challenge_cup,medium_racing_shoes,1,100%,1
challenge_cup,carats,5,5%,2
challenge_cup,monies,400-2400,100%,3
challenge_cup,support_points,20-120,84%,4
challenge_cup,goddess_statue,1,1%,5
champions_cup,dirt_racing_shoes,1,100%,1
champions_cup,carats,5,5%,2
champions_cup,monies,400-2400,100%,3
champions_cup,champions_cup_winner_s_sash,1,100%,4
champions_cup,support_points,1,100%,5
champions_cup,goddess_statue,20-120,84%,6
chunichi_shimbun_hai,medium_racing_shoes,1,100%,1
chunichi_shimbun_hai,carats,5,5%,2
chunichi_shimbun_hai,monies,400-2400,100%,3
chunichi_shimbun_hai,support_points,20-120,84%,4
chunichi_shimbun_hai,goddess_statue,1,1%,5
december_stakes,monies,200,100%,1
december_stakes,support_points,20,5%,2
lapis_lazuli_stakes,monies,200,100%,1
lapis_lazuli_stakes,support_points,20,5%,2
queen_sho,dirt_racing_shoes,1,100%,1
queen_sho,carats,5,5%,2
queen_sho,monies,400-2400,100%,3
queen_sho,support_points,20-120,84%,4
queen_sho,goddess_statue,1,1%,5
rigel_stakes,monies,200,100%,1
rigel_stakes,support_points,20,5%,2
shiwasu_stakes,monies,200,100%,1
shiwasu_stakes,support_points,20,5%,2
stayers_stakes,long_racing_shoes,1,100%,1
stayers_stakes,carats,5,5%,2
stayers_stakes,monies,400-2400,100%,3
stayers_stakes,support_points,20-120,84%,4
stayers_stakes,goddess_statue,1,1%,5
tanzanite_stakes,monies,200,100%,1
tanzanite_stakes,support_points,20,5%,2
turquoise_stakes,mile_racing_shoes,1,100%,1
turquoise_stakes,carats,5,5%,2
turquoise_stakes,monies,400-2400,100%,3
turquoise_stakes,support_points,20-120,84%,4
turquoise_stakes,goddess_statue,1,1%,5
arima_kinen,long_racing_shoes,1,100%,1
arima_kinen,carats,5,5%,2
arima_kinen,monies,400-2400,100%,3
arima_kinen,arima_kinen_winner_s_sash,1,100%,4
arima_kinen,support_points,1,100%,5
arima_kinen,goddess_statue,20-120,84%,6
betelgeuse_stakes,monies,200,100%,1
betelgeuse_stakes,support_points,20,5%,2
galaxy_stakes,monies,200,100%,1
galaxy_stakes,support_points,20,5%,2
hanshin_cup,sprint_racing_shoes,1,100%,1
hanshin_cup,carats,5,5%,2
hanshin_cup,monies,400-2400,100%,3
hanshin_cup,support_points,20-120,84%,4
hanshin_cup,goddess_statue,1,1%,5
tokyo_daishoten,dirt_racing_shoes,1,100%,1
tokyo_daishoten,carats,5,5%,2
tokyo_daishoten,monies,400-2400,100%,3
tokyo_daishoten,tokyo_daishoten_winner_s_sash,400-2400,100%,3
tokyo_daishoten,support_points,1,100%,5
tokyo_daishoten,goddess_statue,20-120,84%,6
aichi_hai,medium_racing_shoes,1,100%,1
aichi_hai,carats,5,5%,2
aichi_hai,monies,400-2400,100%,3
aichi_hai,support_points,20-120,84%,4
aichi_hai,goddess_statue,1,1%,5
carbuncle_stakes,monies,200,100%,1
carbuncle_stakes,support_points,20,5%,2
january_stakes,monies,200,100%,1
january_stakes,support_points,20,5%,2
kyoto_kimpai,mile_racing_shoes,1,100%,1
kyoto_kimpai,carats,5,5%,2
kyoto_kimpai,monies,400-2400,100%,3
kyoto_kimpai,support_points,20-120,84%,4
kyoto_kimpai,goddess_statue,1,1%,5
manyo_stakes,monies,200,100%,1
manyo_stakes,support_points,20,5%,2
nakayama_kimpai,medium_racing_shoes,1,100%,1
nakayama_kimpai,carats,5,5%,2
nakayama_kimpai,monies,400-2400,100%,3
nakayama_kimpai,support_points,20-120,84%,4
nakayama_kimpai,goddess_statue,1,1%,5
new_year_stakes,monies,200,100%,1
new_year_stakes,support_points,20,5%,2
nikkei_shinshun_hai,medium_racing_shoes,1,100%,1
nikkei_shinshun_hai,carats,5,5%,2
nikkei_shinshun_hai,monies,400-2400,100%,3
nikkei_shinshun_hai,support_points,20-120,84%,4
nikkei_shinshun_hai,goddess_statue,1,1%,5
pollux_stakes,monies,200,100%,1
pollux_stakes,support_points,20,5%,2
yodo_tankyori_stakes,monies,200,100%,1
yodo_tankyori_stakes,support_points,20,5%,2
american_jcc,medium_racing_shoes,1,100%,1
american_jcc,carats,5,5%,2
american_jcc,monies,400-2400,100%,3
american_jcc,support_points,20-120,84%,4
american_jcc,goddess_statue,1,1%,5
negishi_stakes,dirt_racing_shoes,1,100%,1
negishi_stakes,carats,5,5%,2
negishi_stakes,monies,400-2400,100%,3
negishi_stakes,support_points,20-120,84%,4
negishi_stakes,goddess_statue,1,1%,5
shirafuji_stakes,monies,200,100%,1
shirafuji_stakes,support_points,20,5%,2
silk_road_stakes,sprint_racing_shoes,1,100%,1
silk_road_stakes,carats,5,5%,2
silk_road_stakes,monies,400-2400,100%,3
silk_road_stakes,support_points,20-120,84%,4
silk_road_stakes,goddess_statue,1,1%,5
subaru_stakes,monies,200,100%,1
subaru_stakes,support_points,20,5%,2
tck_jo_o_hai,dirt_racing_shoes,1,100%,1
tck_jo_o_hai,carats,5,5%,2
tck_jo_o_hai,monies,400-2400,100%,3
tck_jo_o_hai,support_points,20-120,84%,4
tck_jo_o_hai,goddess_statue,1,1%,5
tokai_stakes,dirt_racing_shoes,1,100%,1
tokai_stakes,carats,5,5%,2
tokai_stakes,monies,400-2400,100%,3
tokai_stakes,support_points,20-120,84%,4
tokai_stakes,goddess_statue,1,1%,5
aldebaran_stakes,monies,200,100%,1
aldebaran_stakes,support_points,20,5%,2
kawasaki_kinen,dirt_racing_shoes,1,100%,1
kawasaki_kinen,carats,5,5%,2
kawasaki_kinen,monies,400-2400,100%,3
kawasaki_kinen,kawasaki_kinen_winner_s_sash,1,100%,4
kawasaki_kinen,support_points,20-120,84%,5
kawasaki_kinen,goddess_statue,1,1%,6
kyoto_kinen,medium_racing_shoes,1,100%,1
kyoto_kinen,carats,5,5%,2
kyoto_kinen,monies,400-2400,100%,3
kyoto_kinen,support_points,20-120,84%,4
kyoto_kinen,goddess_statue,1,1%,5
rakuyo_stakes,monies,200,100%,1
rakuyo_stakes,support_points,20,5%,2
tokyo_shimbun_hai,mile_racing_shoes,1,100%,1
tokyo_shimbun_hai,carats,5,5%,2
tokyo_shimbun_hai,monies,400-2400,100%,3
tokyo_shimbun_hai,support_points,20-120,84%,4
tokyo_shimbun_hai,goddess_statue,1,1%,5
valentine_stakes,monies,200,100%,1
valentine_stakes,support_points,20,5%,2
yamato_stakes,monies,200,100%,1
yamato_stakes,support_points,20,5%,2
diamond_stakes,long_racing_shoes,1,100%,1
diamond_stakes,carats,5,5%,2
diamond_stakes,monies,400-2400,100%,3
diamond_stakes,support_points,20-120,84%,4
diamond_stakes,goddess_statue,1,1%,5
february_stakes,dirt_racing_shoes,1,100%,1
february_stakes,carats,5,5%,2
february_stakes,monies,400-2400,100%,3
february_stakes,february_s_winner_s_sash,1,100%,4
february_stakes,support_points,1,100%,5
february_stakes,goddess_statue,20-120,84%,6
hankyu_hai,sprint_racing_shoes,1,100%,1
hankyu_hai,carats,5,5%,2
hankyu_hai,monies,400-2400,100%,3
hankyu_hai,support_points,20-120,84%,4
hankyu_hai,goddess_statue,1,1%,5
kitakyushu_tankyori_stakes,monies,200,100%,1
kitakyushu_tankyori_stakes,support_points,20,5%,2
kokura_daishoten,mile_racing_shoes,1,100%,1
kokura_daishoten,carats,5,5%,2
kokura_daishoten,monies,400-2400,100%,3
kokura_daishoten,support_points,20-120,84%,4
kokura_daishoten,goddess_statue,1,1%,5
kyoto_umamusume_stakes,sprint_racing_shoes,1,100%,1
kyoto_umamusume_stakes,carats,5,5%,2
kyoto_umamusume_stakes,monies,400-2400,100%,3
kyoto_umamusume_stakes,support_points,20-120,84%,4
kyoto_umamusume_stakes,goddess_statue,1,1%,5
nakayama_kinen,mile_racing_shoes,1,100%,1
nakayama_kinen,carats,5,5%,2
nakayama_kinen,monies,400-2400,100%,3
nakayama_kinen,support_points,20-120,84%,4
nakayama_kinen,goddess_statue,1,1%,5
sobu_stakes,monies,200,100%,1
sobu_stakes,support_points,20,5%,2
empress_hai,dirt_racing_shoes,1,100%,1
empress_hai,carats,5,5%,2
empress_hai,monies,400-2400,100%,3
empress_hai,support_points,20-120,84%,4
empress_hai,goddess_statue,1,1%,5
kinko_sho,medium_racing_shoes,1,100%,1
kinko_sho,carats,5,5%,2
kinko_sho,monies,400-2400,100%,3
kinko_sho,support_points,20-120,84%,4
kinko_sho,goddess_statue,1,1%,5
kochi_stakes,monies,200,100%,1
kochi_stakes,support_points,20,5%,2
nakayama_umamusume_stakes,mile_racing_shoes,1,100%,1
nakayama_umamusume_stakes,carats,5,5%,2
nakayama_umamusume_stakes,monies,400-2400,100%,3
nakayama_umamusume_stakes,support_points,20-120,84%,4
nakayama_umamusume_stakes,goddess_statue,1,1%,5
nigawa_stakes,monies,200,100%,1
nigawa_stakes,support_points,20,5%,2
ocean_stakes,sprint_racing_shoes,1,100%,1
ocean_stakes,carats,5,5%,2
ocean_stakes,monies,400-2400,100%,3
ocean_stakes,support_points,20-120,84%,4
ocean_stakes,goddess_statue,1,1%,5
osakajo_stakes,monies,200,100%,1
osakajo_stakes,support_points,20,5%,2
polaris_stakes,monies,200,100%,1
polaris_stakes,support_points,20,5%,2
chiba_stakes,monies,200,100%,1
chiba_stakes,support_points,20,5%,2
diolite_kinen,dirt_racing_shoes,1,100%,1
diolite_kinen,carats,5,5%,2
diolite_kinen,monies,400-2400,100%,3
diolite_kinen,support_points,20-120,84%,4
diolite_kinen,goddess_statue,1,1%,5
hanshin_daishoten,long_racing_shoes,1,100%,1
hanshin_daishoten,carats,5,5%,2
hanshin_daishoten,monies,400-2400,100%,3
hanshin_daishoten,support_points,20-120,84%,4
hanshin_daishoten,goddess_statue,1,1%,5
march_stakes,dirt_racing_shoes,1,100%,1
march_stakes,carats,5,5%,2
march_stakes,monies,400-2400,100%,3
march_stakes,support_points,20-120,84%,4
march_stakes,goddess_statue,1,1%,5
nikkei_sho,long_racing_shoes,1,100%,1
nikkei_sho,carats,5,5%,2
nikkei_sho,monies,400-2400,100%,3
nikkei_sho,support_points,20-120,84%,4
nikkei_sho,goddess_statue,1,1%,5
osaka_hai,medium_racing_shoes,1,100%,1
osaka_hai,carats,5,5%,2
osaka_hai,monies,400-2400,100%,3
osaka_hai,osaka_hai_winner_s_sash,1,100%,4
osaka_hai,support_points,1,100%,5
osaka_hai,goddess_statue,20-120,84%,6
rokko_stakes,monies,200,100%,1
rokko_stakes,support_points,20,5%,2
takamatsunomiya_kinen,sprint_racing_shoes,1,100%,1
takamatsunomiya_kinen,carats,5,5%,2
takamatsunomiya_kinen,monies,400-2400,100%,3
takamatsunomiya_kinen,takamatsunomiya_kinen_winner_s_sash,1,100%,4
takamatsunomiya_kinen,support_points,1,100%,5
takamatsunomiya_kinen,goddess_statue,20-120,84%,6
antares_stakes,dirt_racing_shoes,1,100%,1
antares_stakes,carats,5,5%,2
antares_stakes,monies,400-2400,100%,3
antares_stakes,support_points,20-120,84%,4
antares_stakes,goddess_statue,1,1%,5
azumakofuji_stakes,monies,200,100%,1
azumakofuji_stakes,support_points,20,5%,2
coral_stakes,monies,200,100%,1
coral_stakes,support_points,20,5%,2
fukushima_mimpo_hai,monies,200,100%,1
fukushima_mimpo_hai,support_points,20,5%,2
hanshin_umamusume_stakes,mile_racing_shoes,1,100%,1
hanshin_umamusume_stakes,carats,5,5%,2
hanshin_umamusume_stakes,monies,400-2400,100%,3
hanshin_umamusume_stakes,support_points,20-120,84%,4
hanshin_umamusume_stakes,goddess_statue,1,1%,5
keiyo_stakes,monies,200,100%,1
keiyo_stakes,support_points,20,5%,2
lord_derby_challenge_trophy,mile_racing_shoes,1,100%,1
lord_derby_challenge_trophy,carats,5,5%,2
lord_derby_challenge_trophy,monies,400-2400,100%,3
lord_derby_challenge_trophy,support_points,20-120,84%,4
lord_derby_challenge_trophy,goddess_statue,1,1%,5
shunrai_stakes,monies,200,100%,1
shunrai_stakes,support_points,20,5%,2
fukushima_umamusume_stakes,mile_racing_shoes,1,100%,1
fukushima_umamusume_stakes,carats,5,5%,2
fukushima_umamusume_stakes,monies,400-2400,100%,3
fukushima_umamusume_stakes,support_points,20-120,84%,4
fukushima_umamusume_stakes,goddess_statue,1,1%,5
milers_cup,mile_racing_shoes,1,100%,1
milers_cup,carats,5,5%,2
milers_cup,monies,400-2400,100%,3
milers_cup,support_points,20-120,84%,4
milers_cup,goddess_statue,1,1%,5
oasis_stakes,monies,200,100%,1
oasis_stakes,support_points,20,5%,2
tenno_sho_spring,long_racing_shoes,1,100%,1
tenno_sho_spring,carats,5,5%,2
tenno_sho_spring,monies,400-2400,100%,3
tenno_sho_spring,tenno_sho_spring_winner_s_sash,400-2400,100%,4
tenno_sho_spring,support_points,1,100%,5
tenno_sho_spring,goddess_statue,20-120,84%,6
tennozan_stakes,monies,200,100%,1
tennozan_stakes,support_points,20,5%,2
tokyo_sprint,dirt_racing_shoes,1,100%,1
tokyo_sprint,carats,5,5%,2
tokyo_sprint,monies,400-2400,100%,3
tokyo_sprint,support_points,20-120,84%,4
tokyo_sprint,goddess_statue,1,1%,5
brilliant_stakes,monies,200,100%,1
brilliant_stakes,support_points,20,5%,2
kashiwa_kinen,dirt_racing_shoes,1,100%,1
kashiwa_kinen,carats,5,5%,2
kashiwa_kinen,monies,400-2400,100%,3
kashiwa_kinen,kashiwa_kinen_winner_s_sash,1,100%,4
kashiwa_kinen,support_points,20-120,84%,5
kashiwa_kinen,goddess_statue,1,1%,6
keio_hai_spring_cup,sprint_racing_shoes,1,100%,1
keio_hai_spring_cup,carats,5,5%,2
keio_hai_spring_cup,monies,400-2400,100%,3
keio_hai_spring_cup,support_points,20-120,84%,4
keio_hai_spring_cup,goddess_statue,1,1%,5
kurama_stakes,monies,200,100%,1
kurama_stakes,support_points,20,5%,2
metropolitan_stakes,monies,200,100%,1
metropolitan_stakes,support_points,20,5%,2
miyakooji_stakes,monies,200,100%,1
miyakooji_stakes,support_points,20,5%,2
niigata_daishoten,medium_racing_shoes,1,100%,1
niigata_daishoten,carats,5,5%,2
niigata_daishoten,monies,400-2400,100%,3
niigata_daishoten,support_points,20-120,84%,4
niigata_daishoten,goddess_statue,1,1%,5
ritto_stakes,monies,200,100%,1
ritto_stakes,support_points,20,5%,2
tanigawadake_stakes,monies,200,100%,1
tanigawadake_stakes,support_points,20,5%,2
victoria_mile,mile_racing_shoes,1,100%,1
victoria_mile,carats,5,5%,2
victoria_mile,monies,400-2400,100%,3
victoria_mile,victoria_mile_winner_s_sash,1,100%,4
victoria_mile,support_points,1,100%,5
victoria_mile,goddess_statue,20-120,84%,6
azuchijo_stakes,monies,200,100%,1
azuchijo_stakes,support_points,20,5%,2
heian_stakes,dirt_racing_shoes,1,100%,1
heian_stakes,carats,5,5%,2
heian_stakes,monies,400-2400,100%,3
heian_stakes,support_points,20-120,84%,4
heian_stakes,goddess_statue,1,1%,5
idaten_stakes,monies,200,100%,1
idaten_stakes,support_points,20,5%,2
keyaki_stakes,monies,200,100%,1
keyaki_stakes,support_points,20,5%,2
may_stakes,monies,200,100%,1
may_stakes,support_points,20,5%,2
meguro_kinen,long_racing_shoes,1,100%,1
meguro_kinen,carats,5,5%,2
meguro_kinen,monies,400-2400,100%,3
meguro_kinen,support_points,20-120,84%,4
meguro_kinen,goddess_statue,1,1%,5
teio_sho,dirt_racing_shoes,1,100%,1
teio_sho,carats,5,5%,2
teio_sho,monies,400-2400,100%,3
teio_sho,teio_sho_winner_s_sash,1,100%,4
teio_sho,support_points,1,100%,5
teio_sho,goddess_statue,20-120,84%,6
